2019-08-28 08:28:01,554 [1] INFO  MainLog [(null)] - Logger MainLog initialized successfuly. Using configuration file C:\Users\cech.jiri\Documents\Visual Studio 2017\Projects\AppInfra\InfraEasySetup\bin\Debug\MainLog.log4net.
2019-08-28 09:39:01,870 [9] DEBUG MainLog [(null)] - old 8291 new 8411, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:40:01,871 [11] DEBUG MainLog [(null)] - old 8411 new 8531, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:41:01,873 [8] DEBUG MainLog [(null)] - old 8531 new 8651, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:42:01,875 [11] DEBUG MainLog [(null)] - old 8651 new 8771, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:43:01,879 [4] DEBUG MainLog [(null)] - old 8771 new 8891, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:44:01,884 [10] DEBUG MainLog [(null)] - old 8891 new 9011, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:45:01,889 [11] DEBUG MainLog [(null)] - old 9011 new 9131, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:46:01,894 [4] DEBUG MainLog [(null)] - old 9131 new 9251, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:46:29,811 [1] DEBUG MainLog [(null)] - OdpojujiKameru, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:46:29,819 [5] DEBUG MainLog [(null)] - Konec pripojeni, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:46:32,803 [1] DEBUG MainLog [(null)] - StreamBolometer cancel error, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:46:32,806 [1] DEBUG MainLog [(null)] - KameraOdpojena, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:48:38,720 [1] INFO  MainLog [(null)] - Logger MainLog initialized successfuly. Using configuration file C:\Users\cech.jiri\Documents\Visual Studio 2017\Projects\AppInfra\InfraEasySetup\bin\Debug\MainLog.log4net.
2019-08-28 09:48:38,754 [1] DEBUG MainLog [(null)] - PripojujiKameru, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:48:38,772 [1] DEBUG MainLog [(null)] - OnACConnected, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:48:38,828 [1] DEBUG MainLog [(null)] - Moje kamera: IRCA3Mv190206a, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:49:38,842 [9] DEBUG MainLog [(null)] - old -1 new 0, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:51:37,133 [1] INFO  MainLog [(null)] - Logger MainLog initialized successfuly. Using configuration file C:\Users\cech.jiri\Documents\Visual Studio 2017\Projects\AppInfra\InfraEasySetup\bin\Debug\MainLog.log4net.
2019-08-28 09:51:37,173 [1] DEBUG MainLog [(null)] - PripojujiKameru, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:51:37,197 [1] DEBUG MainLog [(null)] - OnACConnected, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:51:37,244 [1] DEBUG MainLog [(null)] - Moje kamera: IRCA3Mv190206a, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:55:30,016 [1] INFO  MainLog [(null)] - Logger MainLog initialized successfuly. Using configuration file C:\Users\cech.jiri\Documents\Visual Studio 2017\Projects\AppInfra\InfraEasySetup\bin\Debug\MainLog.log4net.
2019-08-28 09:55:30,054 [1] DEBUG MainLog [(null)] - PripojujiKameru, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:55:30,068 [1] DEBUG MainLog [(null)] - OnACConnected, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:55:30,117 [1] DEBUG MainLog [(null)] - Moje kamera: IRCA3Mv190206a, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:55:36,065 [1] DEBUG MainLog [(null)] - OdpojujiKameru, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:55:36,078 [5] DEBUG MainLog [(null)] - Konec pripojeni, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:55:39,064 [1] DEBUG MainLog [(null)] - StreamBolometer cancel error, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:55:39,065 [1] DEBUG MainLog [(null)] - KameraOdpojena, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:55:52,382 [1] INFO  MainLog [(null)] - Logger MainLog initialized successfuly. Using configuration file C:\Users\cech.jiri\Documents\Visual Studio 2017\Projects\AppInfra\InfraEasySetup\bin\Debug\MainLog.log4net.
2019-08-28 09:55:52,423 [1] DEBUG MainLog [(null)] - PripojujiKameru, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:55:52,443 [1] DEBUG MainLog [(null)] - OnACConnected, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:55:52,492 [1] DEBUG MainLog [(null)] - Moje kamera: IRCA3Mv190206a, Calling method:AppJCE.Vypis.Debug (line 19)
